[00:00:00.256]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-35
[00:00:00.859]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:00.859]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-66
[00:00:01.310]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:01.761]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:01.761]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:02.816]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:02.816]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:00:03.268]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:03.871]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:03.871]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:04.324]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:04.775]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:04.775]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-55
[00:00:05.227]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:05.830]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:05.830]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-32
[00:00:06.282]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:06.885]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:06.885]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:07.336]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:07.789]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:07.789]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-50
[00:00:08.240]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:08.843]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:08.843]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-54
[00:00:09.295]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-46
[00:00:09.746]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:09.746]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:10.197]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:10.800]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:11.403]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-46
[00:00:11.855]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:11.855]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-48
[00:00:12.307]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:00:12.759]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:12.759]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:13.360]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:00:13.811]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:13.811]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:14.263]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:14.867]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:14.867]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:00:15.319]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:15.770]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:16.522]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:16.974]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:16.974]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-55
[00:00:17.426]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:17.877]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:17.877]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:00:18.328]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:18.780]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:18.780]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
