[17:39:39.855]	CLIENT DISCONNECTED 39.7.52.237
[17:39:39.893]	CLIENT DISCONNECTED 175.223.31.241
[17:39:39.939]	CLIENT DISCONNECTED 39.7.52.53
[17:39:39.984]	CLIENT DISCONNECTED 39.7.52.121
[17:39:40.033]	CLIENT DISCONNECTED 175.223.31.204
[17:39:40.079]	CLIENT DISCONNECTED 39.7.52.5
[17:39:40.118]	CLIENT DISCONNECTED 175.223.31.206
[17:39:40.165]	CLIENT DISCONNECTED 39.7.52.220
[17:39:40.214]	CLIENT DISCONNECTED 175.223.31.246
[17:39:40.267]	CLIENT DISCONNECTED 175.223.31.148
[17:39:40.315]	CLIENT DISCONNECTED 175.223.31.225
[17:39:40.346]	DISCONNECTED
[17:46:01.651]	BEGIN LISTENING (PASSIVE: 25007)
[17:46:07.392]	CONNECTED (IP:175.223.31.244)
[17:49:58.665]	CLIENT DISCONNECTED 175.223.31.244
[17:49:58.693]	DISCONNECTED
