[10:25:34.866]	TCP Server Open (Port : 25007)
[10:26:52.794]	TCP Server Open (Port : 25007)
[10:27:58.773]	TCP Server Open (Port : 25007)
[10:32:50.667]	TCP Server Open (Port : 25007)
[10:34:06.313]	TCP Server Open (Port : 25007)
[10:34:08.307]	[CONNECT] :39.7.52.4	CONNECTED SOCKET
[10:34:09.063]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:09.064]	[<<-RECV] :39.7.52.4, 	0001WBPN_1,-47/BPN_3,-56/BPN_4,-52/BPN_2,-58
[10:34:09.064]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:14,-31
[10:34:10.119]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:10.119]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-54
[10:34:10.721]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:11,-38
[10:34:11.173]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:14,-43
[10:34:12.077]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-51
[10:34:12.530]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:12.530]	[<<-RECV] :39.7.52.4, 	0001WBPN_1,-56/BPN_3,-57/BPN_4,-52/BPN_2,-58
[10:34:12.530]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:11,-41
[10:34:13.132]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:14,-44
[10:34:14.186]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-45
[10:34:14.637]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:14.637]	[<<-RECV] :39.7.52.4, 	0001WBPN_1,-39/BPN_3,-58/BPN_4,-52/BPN_2,-56
[10:34:16.142]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-55
[10:34:16.593]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:16.593]	[<<-RECV] :39.7.52.4, 	0001WBPN_1,-41/BPN_3,-58/BPN_4,-52/BPN_2,-57
[10:34:16.593]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:11,-37
[10:34:17.196]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:14,-43
[10:34:18.099]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-50
[10:34:18.701]	[<<-RECV] :39.7.52.4, 	0001GN035.1765E129.1259
[10:34:18.701]	[<<-RECV] :39.7.52.4, 	0001WBPN_1,-55/BPN_3,-21/BPN_4,-53/BPN_2,-58
[10:34:18.701]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:11,-41
[10:34:19.153]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:14,-28
[10:34:20.057]	[<<-RECV] :39.7.52.4, 	0001B50:8d:6f:b0:02:0e,-45
[10:35:39.399]	TCP Server Open (Port : 25007)
[10:35:40.233]	[CONNECT] :39.7.52.209	CONNECTED SOCKET
[10:35:41.138]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1261
[10:35:41.138]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-38/BPN_3,-62/BPN_4,-42/BPN_2,-59
[10:35:41.138]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:14.710]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1261
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-34
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-37/BPN_3,-70/BPN_4,-52/BPN_2,-58
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-28
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-45
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-36/BPN_3,-59/BPN_4,-50/BPN_2,-55
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-49
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-11/BPN_3,-58/BPN_4,-52/BPN_2,-62
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-28
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-39/BPN_3,-62/BPN_4,-53/BPN_2,-55
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-38
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-13/BPN_3,-63/BPN_4,-52/BPN_2,-51
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-46
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-42
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-10/BPN_3,-58/BPN_4,-32/BPN_2,-54
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-44
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-53
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:17.406]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-10/BPN_3,-58/BPN_4,-53/BPN_2,-50
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-51
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-13/BPN_3,-58/BPN_4,-46/BPN_2,-63
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-34
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-42
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-45
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-42/BPN_3,-59/BPN_4,-53/BPN_2,-55
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-53
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-28
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-38/BPN_3,-59/BPN_4,-54/BPN_2,-54
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-49
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-16/BPN_3,-67/BPN_4,-46/BPN_2,-55
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-28
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-41
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-28
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-37/BPN_3,-59/BPN_4,-21/BPN_2,-34
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-38
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-44/BPN_3,-50/BPN_4,-23/BPN_2,-43
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-37
[10:36:17.407]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:17.558]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:17.708]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:17.708]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.708]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-40/BPN_3,-61/BPN_4,-54/BPN_2,-46
[10:36:17.708]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-44
[10:36:17.859]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:17.859]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-40/BPN_3,-58/BPN_4,-50/BPN_2,-20
[10:36:17.859]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-55
[10:36:17.859]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:17.859]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:18.311]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:18.311]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-40/BPN_3,-58/BPN_4,-49/BPN_2,-20
[10:36:18.311]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:18.763]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:19.214]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-43
[10:36:20.118]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-46
[10:36:20.571]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:20.571]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-12/BPN_3,-31/BPN_4,-41/BPN_2,-57
[10:36:20.571]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-42
[10:36:21.776]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-28
[10:36:22.227]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-38
[10:36:22.680]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:22.680]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-38/BPN_3,-60/BPN_4,-41/BPN_2,-57
[10:36:22.680]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-28
[10:36:23.132]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:24.185]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-50
[10:36:24.787]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:24.787]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-37/BPN_3,-55/BPN_4,-53/BPN_2,-19
[10:36:24.787]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:26.294]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-44
[10:36:26.747]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:26.747]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-41/BPN_3,-23/BPN_4,-40/BPN_2,-52
[10:36:26.747]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-41
[10:36:27.199]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-45
[10:36:28.103]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-53
[10:36:28.856]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1260
[10:36:28.856]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-7/BPN_3,-57/BPN_4,-49/BPN_2,-57
[10:36:28.856]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-38
[10:36:29.309]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:14,-42
[10:36:30.211]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:12,-37
[10:36:30.814]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-37
[10:36:31.264]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1259
[10:36:31.264]	[<<-RECV] :39.7.52.209, 	0001WBPN_1,-12/BPN_3,-60/BPN_4,-51/BPN_2,-51
[10:36:32.168]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:0e,-45
[10:36:32.770]	[<<-RECV] :39.7.52.209, 	0001B50:8d:6f:b0:02:11,-40
[10:36:33.222]	[<<-RECV] :39.7.52.209, 	0001GN035.1765E129.1259
