[11:25:29.298]	TCP Server Open (Port : 25007)
[11:25:33.082]	[CONNECT] :175.223.31.158	CONNECTED SOCKET
[11:25:33.536]	[<<-RECV] :175.223.31.158, 	0001GF000.0000F000.0000
[11:25:33.536]	[<<-RECV] :175.223.31.158, 	0001WBPN_3,-9/BPN_2,-42/BPN_1,-39/BPN_4,-5
[11:25:33.536]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:11,-45
[11:25:49.768]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:14,-49
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001GF000.0000F000.0000
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001WBPN_3,-41/BPN_2,-42/BPN_1,-41/BPN_4,-38
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:0e,-44
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:11,-51
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:14,-48
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001GF000.0000F000.0000
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:0e,-43
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:11,-65
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:14,-46
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001GF000.0000F000.0000
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001WBPN_3,-12/BPN_2,-45/BPN_1,-41/BPN_4,-37
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:0e,-45
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:11,-53
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001B50:8d:6f:b0:02:14,-31
[11:25:50.600]	[<<-RECV] :175.223.31.158, 	0001GF000.0000F000.0000
