[18:14:11.082]	TCP Server Open (Port : 25007)
[18:14:49.632]	TCP Server Open (Port : 25007)
[18:15:10.600]	TCP Server Open (Port : 25007)
[18:19:01.355]	TCP Server Open (Port : 25007)
[18:19:02.319]	[CONNECT] :175.223.31.240,	CONNECTED SOCKET
[18:19:03.072]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:03.073]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-37/BPN_2,-43/BPN_1,-47/BPN_4,-58
[18:19:03.073]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:03.524]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:19:04.277]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:04.277]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-43/BPN_2,-12/BPN_1,-22/BPN_4,-39
[18:19:04.277]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:05.030]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-50
[18:19:05.481]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:06.386]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:06.386]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-29
[18:19:07.139]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:19:08.494]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:08.494]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-46/BPN_2,-41/BPN_1,-51/BPN_4,-30
[18:19:08.494]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-57
[18:19:09.096]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-45
[18:19:09.548]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-44
[18:19:10.451]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:10.451]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-8/BPN_2,-48/BPN_1,-49/BPN_4,-43
[18:19:10.451]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:11.053]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-50
[18:19:11.504]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:12.408]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:13.313]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:13.313]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-18/BPN_2,-41/BPN_1,-41/BPN_4,-41
[18:19:13.313]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-49
[18:19:13.463]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:19:14.516]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-58
[18:19:14.967]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:14.967]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-17/BPN_2,-41/BPN_1,-56/BPN_4,-43
[18:19:14.967]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:15.419]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-46
[18:19:16.473]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:16.925]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:16.925]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-13/BPN_2,-10/BPN_1,-13/BPN_4,-13
[18:19:16.925]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-52
[18:19:17.376]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:18.431]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-45
[18:19:19.034]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:19.034]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-30/BPN_2,-28/BPN_1,-14/BPN_4,-22
[18:19:19.034]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:19:19.486]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-51
[18:19:20.390]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-62
[18:19:21.144]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:21.144]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-42/BPN_2,-43/BPN_1,-44/BPN_4,-17
[18:19:21.144]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-46
[18:19:21.595]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-44
[18:19:22.349]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:23.102]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:23.102]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-12/BPN_2,-46/BPN_1,-42/BPN_4,-8
[18:19:23.102]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:19:23.554]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-38
[18:19:24.457]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:19:25.060]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-49
[18:19:25.512]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:25.512]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-46/BPN_2,-42/BPN_1,-33/BPN_4,-41
[18:19:25.512]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-39
[18:19:26.417]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-60
[18:19:27.019]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-42/BPN_1,-39/BPN_4,-41
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-29
