[11:03:45.995]	TCP Server Open (Port : 25007)
[11:05:17.735]	TCP Server Open (Port : 25007)
[11:06:30.571]	[CONNECT] :39.7.52.142,	CONNECTED SOCKET
[11:06:31.025]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:31.025]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-10/BPN_1,-11/BPN_4,-41/BPN_2,-9
[11:06:31.025]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-45
[11:06:31.628]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-12/BPN_1,-11/BPN_4,-19/BPN_2,-45
[11:06:31.628]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-44
[11:06:32.079]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:06:32.681]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-46
[11:06:33.132]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:06:33.735]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:33.735]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
[11:06:34.186]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-53
[11:06:34.788]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-53
[11:06:35.241]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-28
[11:06:35.692]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:35.692]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-12/BPN_1,-15/BPN_4,-19/BPN_2,-7
[11:06:35.692]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-48
[11:06:36.144]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:06:36.896]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-45
[11:06:37.650]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-59
[11:06:38.102]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:38.102]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-8/BPN_1,-43/BPN_4,-19/BPN_2,-41
[11:06:39.006]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-49
[11:06:40.060]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:40.060]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-42/BPN_1,-42/BPN_4,-38/BPN_2,-43
[11:06:40.060]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:06:40.812]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:06:41.565]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-63
[11:06:42.016]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:42.016]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-11/BPN_1,-45/BPN_4,-12/BPN_2,-52
[11:06:42.016]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:06:42.769]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-47
[11:06:44.122]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:44.122]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-11/BPN_1,-14/BPN_4,-41/BPN_2,-11
[11:06:44.122]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:06:44.724]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-50
[11:06:45.626]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-38
[11:06:46.078]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-41
[11:06:46.529]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:46.529]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-12/BPN_1,-46/BPN_4,-9/BPN_2,-34
[11:06:46.529]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-54
[11:06:46.981]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:06:47.583]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
[11:06:48.034]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:06:48.636]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:48.636]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-10/BPN_1,-43/BPN_4,-10/BPN_2,-9
[11:06:48.937]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-46
[11:06:50.143]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:06:50.595]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:50.595]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-18/BPN_1,-46/BPN_4,-41/BPN_2,-10
[11:06:50.595]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-46
[11:06:51.046]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-49
[11:06:51.647]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-60
[11:06:52.100]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-48
[11:06:52.702]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:52.702]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-12/BPN_1,-47/BPN_4,-42/BPN_2,-9
[11:06:52.702]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-53
[11:06:53.153]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-43
[11:06:53.605]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-54
[11:06:54.057]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-13/BPN_1,-41/BPN_4,-39/BPN_2,-27
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-47
[11:06:55.561]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-48
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-13/BPN_1,-44/BPN_4,-37/BPN_2,-44
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:06:57.517]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:06:58.119]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-46
[11:06:58.721]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
